num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,1109e_00000,2024-09-02_00-10-02,1725203402,70.010169506073,70.010169506073,2989111,v1,143.248.233.21,70.010169506073,1,0,0,0,0,54943,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.19,0.01,0.331,0.296,0.009,0,0,0,0,54943,68.172,49.412,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,15964,10098,7982,10098,7982,10098,798.1554899766194,1009.7436905266728,7982,7982,15964,10098,15964,False,2,1109e_00000,2024-09-02_00-11-12,1725203472,70.01135993003845,140.02152943611145,2989111,v1,143.248.233.21,140.02152943611145,2,7982,10098,15964,10098,17260,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.38,0.01,0.421,0.339,0.019,7982,10098,15964,10098,17260,68.984,51.409,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",498.86,1223.518,72237.111,71013.125,[],[]
25,50,0,121144,61237,44458,61237,36476,51139,3647.543212372835,5113.820384294726,44458,44458,121144,51139,121144,False,3,1109e_00000,2024-09-02_00-12-22,1725203542,70.01085209846497,210.03238153457642,2989111,v1,143.248.233.21,210.03238153457642,3,44458,61237,121144,61237,38752,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.312,0.01,0.349,0.271,0.019,44458,61237,121144,61237,38752,68.37575757575759,53.94040404040403,5,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",245.15,1223.518,29422.647,71013.125,[],[]
25,50,0,204864,125339,78873,125339,34415,64102,3441.4934358722003,6410.1877735371145,78873,78873,204864,64102,204864,False,4,1109e_00000,2024-09-02_00-13-32,1725203612,70.01127243041992,280.04365396499634,2989111,v1,143.248.233.21,280.04365396499634,4,78873,125339,204864,125339,24088,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.243,0.008,0.2,0.141,0.014,78873,125339,204864,125339,24088,69.51414141414142,55.686868686868685,10,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",214.185,1326.957,21901.995,104530.787,[],[]
25,50,0,405513,196426,162010,196426,83137,71087,8313.658375257044,7108.664408408981,162010,162010,405513,71087,405513,False,5,1109e_00000,2024-09-02_00-14-42,1725203682,70.19398665428162,350.23764061927795,2989111,v1,143.248.233.21,350.23764061927795,5,162010,196426,405513,196426,32699,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.207,0.009,0.227,0.158,0.015,162010,196426,405513,196426,32699,68.649,57.253,15,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",164.954,1326.957,14245.678,104530.787,[],[]
25,50,0,559343,311020,229135,311020,67125,114594,6712.434384868197,11459.287983606499,229135,229135,559343,114594,559343,False,6,1109e_00000,2024-09-02_00-15-52,1725203752,70.01220846176147,420.24984908103943,2989111,v1,143.248.233.21,420.24984908103943,6,229135,311020,559343,311020,26669,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.192,0.007,0.169,0.115,0.012,229135,311020,559343,311020,26669,72.13333333333334,58.52727272727272,21,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",170.818,1680.925,7847.52,113382.011,[],[]
25,50,0,788132,438271,311986,438271,82851,127251,8285.089333276177,12725.083616959684,311986,311986,788132,127251,788132,False,7,1109e_00000,2024-09-02_00-17-02,1725203822,70.03403759002686,490.2838866710663,2989111,v1,143.248.233.21,490.2838866710663,7,311986,438271,788132,438271,32817,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.169,0.009,0.44,0.368,0.016,311986,438271,788132,438271,32817,71.055,59.80199999999999,26,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",183.328,1464.531,7840.109,101070.502,[],[]
25,50,0,1079103,599805,424175,599805,112189,161534,11218.75957506235,16153.197810820326,424175,424175,1079103,161534,1079103,False,8,1109e_00000,2024-09-02_00-18-12,1725203892,70.28887104988098,560.5727577209473,2989111,v1,143.248.233.21,560.5727577209473,8,424175,599805,1079103,599805,4914,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.165,0.008,0.193,0.132,0.013,424175,599805,1079103,599805,4914,71.29393939393938,60.63232323232322,32,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",155.65,1464.531,7887.711,101070.502,[],[]
25,50,0,1302230,797818,513218,797818,89043,198013,8904.212535296332,19801.10549680079,513218,513218,1302230,198013,1302230,False,9,1109e_00000,2024-09-02_00-19-23,1725203963,70.19365930557251,630.7664170265198,2989111,v1,143.248.233.21,630.7664170265198,9,513218,797818,1302230,797818,1370,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.16,0.008,0.209,0.145,0.014,513218,797818,1302230,797818,1370,71.73599999999999,60.464,37,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",139.414,1943.848,8034.001,106400.193,[],[]
25,50,0,1446042,968200,568513,968200,55295,170382,5529.476797391979,17038.12850516756,568513,568513,1446042,170382,1446042,False,10,1109e_00000,2024-09-02_00-20-33,1725204033,70.0123336315155,700.7787506580353,2989111,v1,143.248.233.21,700.7787506580353,10,568513,968200,1446042,968200,34421,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.149,0.008,0.194,0.135,0.014,568513,968200,1446042,968200,34421,73.22929292929292,59.717171717171716,41,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",161.209,1943.848,13327.74,106400.193,[],[]
25,50,0,1701118,1025951,664381,1025951,95868,57751,9586.656919116225,5775.013807901293,664381,664381,1701118,57751,1701118,False,11,1109e_00000,2024-09-02_00-21-43,1725204103,70.01617360115051,770.7949242591858,2989111,v1,143.248.233.21,770.7949242591858,11,664381,1025951,1701118,1025951,10870,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.147,0.009,0.239,0.167,0.016,664381,1025951,1701118,1025951,10870,72.60999999999999,59.964,46,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",172.879,1891.054,13694.612,110098.307,[],[]
25,50,0,1897281,1106947,736440,1106947,72059,80996,7205.397170507477,8099.03480789941,736440,736440,1897281,80996,1897281,False,12,1109e_00000,2024-09-02_00-22-53,1725204173,70.01147890090942,840.8064031600952,2989111,v1,143.248.233.21,840.8064031600952,12,736440,1106947,1897281,1106947,29427,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.162,0.009,0.268,0.194,0.017,736440,1106947,1897281,1106947,29427,71.57171717171717,60.07373737373737,51,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",154.344,1793.33,14210.956,104083.817,[],[]
