num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
12,24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,1ad98_00000,2024-09-02_08-52-44,1725234764,70.0080795288086,70.0080795288086,3621479,v1,143.248.233.21,70.0080795288086,1,0,0,0,0,82646,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.026,0.007,0.143,0.116,0.007,0,0,0,0,82646,32.538000000000004,25.258999999999997,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
12,24,0,12452,12452,6226,12452,6226,12452,622.5962593494093,1245.1925186988185,6226,6226,12452,12452,12452,False,2,1ad98_00000,2024-09-02_08-53-55,1725234835,70.00684690475464,140.01492643356323,3621479,v1,143.248.233.21,140.01492643356323,2,6226,12452,12452,12452,42669,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.053,0.006,0.182,0.116,0.015,6226,12452,12452,12452,42669,32.91499999999999,26.903,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",81.678,441.299,36918.55,70048.884,[],[]
12,24,0,92305,55794,38408,55794,32182,43342,3218.1741429165327,4334.165176256552,38408,38408,92305,43342,92305,False,3,1ad98_00000,2024-09-02_08-55-05,1725234905,70.00694417953491,210.02187061309814,3621479,v1,143.248.233.21,210.02187061309814,3,38408,55794,92305,55794,60158,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.068,0.005,0.14,0.094,0.011,38408,55794,92305,55794,60158,31.645454545454545,28.167676767676767,6,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",60.653,441.299,23934.93,70048.884,[],[]
12,24,0,189756,135841,81383,135841,42975,80047,4297.456659694503,8004.619272566979,81383,81383,189756,80047,189756,False,4,1ad98_00000,2024-09-02_08-56-15,1725234975,70.00676441192627,280.0286350250244,3621479,v1,143.248.233.21,280.0286350250244,4,81383,135841,189756,135841,14167,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.08,0.007,0.164,0.107,0.012,81383,135841,189756,135841,14167,30.375,28.636000000000003,11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",55.072,964.138,14788.563,104901.327,[],[]
12,24,0,219834,165919,93027,165919,11644,30078,1164.3972793833404,3007.7929722854783,93027,93027,219834,30078,219834,False,5,1ad98_00000,2024-09-02_08-57-25,1725235045,70.00607943534851,350.0347144603729,3621479,v1,143.248.233.21,350.0347144603729,5,93027,165919,219834,165919,62732,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.071,0.004,0.134,0.091,0.01,93027,165919,219834,165919,62732,30.487878787878785,29.069696969696963,13,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",57.52,964.138,14047.788,104901.327,[],[]
12,24,0,271915,218000,112249,218000,19222,52081,1922.1868930470607,5208.06448739902,112249,112249,271915,52081,271915,False,6,1ad98_00000,2024-09-02_08-58-35,1725235115,70.00646185874939,420.0411763191223,3621479,v1,143.248.233.21,420.0411763191223,6,112249,218000,271915,218000,61781,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.072,0.004,0.132,0.092,0.009,112249,218000,271915,218000,61781,31.565,29.747,16,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",61.281,964.138,20960.542,104901.327,[],[]
12,24,0,361041,307126,148193,307126,35944,89126,3594.3952009646596,8912.58810041109,148193,148193,361041,89126,361041,False,7,1ad98_00000,2024-09-02_08-59-45,1725235185,70.00660562515259,490.0477819442749,3621479,v1,143.248.233.21,490.0477819442749,7,148193,307126,361041,307126,20165,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.066,0.005,0.149,0.098,0.011,148193,307126,361041,307126,20165,31.671717171717173,30.2979797979798,20,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",63.904,1822.972,21203.546,138586.964,[],[]
12,24,0,409865,355950,172605,355950,24412,48824,2441.171480988844,4882.342961977688,172605,172605,409865,48824,409865,False,8,1ad98_00000,2024-09-02_09-00-55,1725235255,70.007159948349,560.0549418926239,3621479,v1,143.248.233.21,560.0549418926239,8,172605,355950,409865,355950,61943,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.073,0.007,0.186,0.117,0.015,172605,355950,409865,355950,61943,32.202000000000005,31.458,24,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",63.407,1822.972,14213.698,138586.964,[],[]
12,24,0,622255,459889,249662,459889,77057,103939,7705.607407137556,10393.775105317758,249662,249662,622255,103939,622255,False,9,1ad98_00000,2024-09-02_09-02-05,1725235325,70.00633502006531,630.0612769126892,3621479,v1,143.248.233.21,630.0612769126892,9,249662,459889,622255,459889,10471,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.08,0.004,0.123,0.087,0.008,249662,459889,622255,459889,10471,31.814141414141417,31.91010101010101,30,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",53.97,2251.729,14372.118,138123.972,[],[]
12,24,0,753240,618073,301257,618073,51595,158184,5109.3219093736325,15664.560071951906,301257,301257,753240,158184,753240,False,10,1ad98_00000,2024-09-02_09-03-15,1725235395,70.16666984558105,700.2279467582703,3621479,v1,143.248.233.21,700.2279467582703,10,301257,618073,753240,618073,37870,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10009.894,0.011,18.841,18.734,0.029,301257,618073,753240,618073,37870,31.855999999999998,32.150999999999996,34,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",51.514,2047.027,14579.363,123740.6,[],[]
