num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
30,60,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,2ce74_00000,2024-09-01_23-35-03,1725201303,70.01403880119324,70.01403880119324,2929990,v1,143.248.233.21,70.01403880119324,1,0,0,0,0,46181,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.134,0.008,0.148,0.126,0.006,0,0,0,0,46181,79.59599999999999,55.229,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
30,60,0,10776,0,5388,0,5388,0,538.7944248967074,0.0,5388,5388,10776,0,10776,False,2,2ce74_00000,2024-09-01_23-36-13,1725201373,70.0171446800232,140.03118348121643,2929990,v1,143.248.233.21,140.03118348121643,2,5388,0,10776,0,2760,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.13,0.009,0.232,0.208,0.006,5388,0,10776,0,2760,82.84100000000001,57.29300000000001,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",243.744,1368.247,80196.711,78826.849,[],[]
30,60,0,99593,61197,39466,61197,34078,61197,3407.747270679982,6119.6053091086005,39466,39466,99593,61197,99593,False,3,2ce74_00000,2024-09-01_23-37-23,1725201443,70.020667552948,210.05185103416443,2929990,v1,143.248.233.21,210.05185103416443,3,39466,61197,99593,61197,16562,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.144,0.011,0.341,0.267,0.017,39466,61197,99593,61197,16562,85.38080808080807,59.918181818181814,6,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",185.014,1368.247,25158.325,78826.849,[],[]
30,60,0,302136,153605,111816,153605,72350,92408,7234.768173016917,9240.50390231026,111816,111816,302136,92408,302136,False,4,2ce74_00000,2024-09-01_23-38-33,1725201513,70.02124738693237,280.0730984210968,2929990,v1,143.248.233.21,280.0730984210968,4,111816,153605,302136,153605,12371,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.193,0.013,0.397,0.311,0.021,111816,153605,302136,153605,12371,85.30799999999999,62.434,13,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",167.786,2241.478,7617.576,104663.363,[],[]
30,60,0,537555,233224,203690,233224,91874,79619,9177.996189826541,7953.750556607956,203690,203690,537555,79619,537555,False,5,2ce74_00000,2024-09-01_23-39-43,1725201583,70.04064345359802,350.1137418746948,2929990,v1,143.248.233.21,350.1137418746948,5,203690,233224,537555,233224,20813,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10002.208,0.011,2.405,2.307,0.025,203690,233224,537555,233224,20813,83.07474747474747,64.11111111111111,18,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",179.095,1989.747,7519.586,90297.678,[],[]
30,60,0,678302,377238,257287,377238,53597,144014,5359.650419798782,14401.266779052967,257287,257287,678302,144014,678302,False,6,2ce74_00000,2024-09-01_23-40-53,1725201653,70.0450530052185,420.15879487991333,2929990,v1,143.248.233.21,420.15879487991333,6,257287,377238,678302,377238,1307,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.858,0.012,0.664,0.573,0.023,257287,377238,678302,377238,1307,86.45555555555556,65.26363636363635,23,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",178.418,1989.747,13940.196,90297.678,[],[]
30,60,0,1007602,497064,380250,497064,122963,119826,12288.282432912372,11974.786974993762,380250,380250,1007602,119826,1007602,False,7,2ce74_00000,2024-09-01_23-42-03,1725201723,70.05731129646301,490.21610617637634,2929990,v1,143.248.233.21,490.21610617637634,7,380250,497064,1007602,497064,3427,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10002.528,0.025,2.03,1.925,0.027,380250,497064,1007602,497064,3427,86.73939393939393,67.04444444444445,30,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",142.721,1997.676,7921.077,100060.878,[],[]
30,60,0,1171723,735865,435473,735865,55223,238801,5522.021944085457,23878.89760189688,435473,435473,1171723,238801,1171723,False,8,2ce74_00000,2024-09-01_23-43-13,1725201793,70.025550365448,560.2416565418243,2929990,v1,143.248.233.21,560.2416565418243,8,435473,735865,1171723,735865,13063,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10002.278,0.01,0.314,0.239,0.02,435473,735865,1171723,735865,13063,84.66,67.035,35,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",150.802,2475.218,6880.925,91310.762,[],[]
30,60,0,1332427,807533,501862,807533,66389,71668,6638.779864837708,7166.6703121479295,501862,501862,1332427,71668,1332427,False,9,2ce74_00000,2024-09-01_23-44-23,1725201863,70.01645755767822,630.2581140995026,2929990,v1,143.248.233.21,630.2581140995026,9,501862,807533,1332427,807533,27850,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10002.047,0.013,0.585,0.479,0.03,501862,807533,1332427,807533,27850,84.35151515151516,66.73737373737374,39,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",169.091,2475.218,13174.24,91310.762,[],[]
30,60,0,1509407,914715,568732,914715,66870,107182,6686.8451965645345,10717.951874655002,568732,568732,1509407,107182,1509407,False,10,2ce74_00000,2024-09-01_23-45-33,1725201933,70.03854322433472,700.2966573238373,2929990,v1,143.248.233.21,700.2966573238373,10,568732,914715,1509407,914715,4018,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.867,0.01,0.459,0.388,0.016,568732,914715,1509407,914715,4018,84.7959595959596,67.49494949494951,45,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",194.228,2774.717,14147.499,98000.395,[],[]
