num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
30,60,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,2f0eb_00000,2024-09-01_22-30-41,1725197441,70.02009057998657,70.02009057998657,2768940,v1,143.248.233.21,70.02009057998657,1,0,0,0,0,45633,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10002.595,0.009,0.534,0.507,0.007,0,0,0,0,45633,80.31299999999999,53.933,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
30,60,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,2f0eb_00000,2024-09-01_22-31-51,1725197511,70.01443791389465,140.03452849388123,2768940,v1,143.248.233.21,140.03452849388123,2,0,0,0,0,90884,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.337,0.009,0.271,0.224,0.008,0,0,0,0,90884,83.553,53.33,0,nan,nan,-1.0,0.0,0.0,0.0,0.0,[],[]
30,60,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,2f0eb_00000,2024-09-01_22-33-01,1725197581,70.01725006103516,210.05177855491638,2768940,v1,143.248.233.21,210.05177855491638,3,0,0,0,0,132184,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.958,0.01,0.189,0.164,0.006,0,0,0,0,132184,86.9020202020202,52.523232323232314,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
30,60,0,87341,71166,34368,71166,34368,71166,3436.7774667309914,7116.553340240274,34368,34368,87341,71166,87341,False,4,2f0eb_00000,2024-09-01_22-34-11,1725197651,70.02179050445557,280.07356905937195,2768940,v1,143.248.233.21,280.07356905937195,4,34368,71166,87341,71166,5879,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.739,0.015,0.571,0.469,0.028,34368,71166,87341,71166,5879,86.80606060606061,56.11616161616162,6,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",176.376,1069.888,36600.439,210285.693,[],[]
30,60,0,241359,151033,90953,151033,56585,79867,5658.427959429495,7986.598318207218,90953,90953,241359,79867,241359,False,5,2f0eb_00000,2024-09-01_22-35-21,1725197721,70.0149302482605,350.08849930763245,2768940,v1,143.248.233.21,350.08849930763245,5,90953,151033,241359,151033,10680,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.619,0.007,0.167,0.116,0.012,90953,151033,241359,151033,10680,85.63699999999999,58.55300000000001,12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",165.393,1505.54,7696.216,138710.066,[],[]
30,60,0,361191,261818,136773,261818,45820,110785,4581.980445516116,11078.452720569683,136773,136773,361191,110785,361191,False,6,2f0eb_00000,2024-09-01_22-36-31,1725197791,70.01677536964417,420.1052746772766,2768940,v1,143.248.233.21,420.1052746772766,6,136773,261818,361191,261818,25932,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.526,0.01,0.311,0.24,0.016,136773,261818,361191,261818,25932,85.40808080808083,59.48989898989899,16,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",177.522,1505.54,13856.141,138710.066,[],[]
30,60,0,481595,346518,186251,346518,49478,84700,4947.795045485689,8469.99151850596,186251,186251,481595,84700,481595,False,7,2f0eb_00000,2024-09-01_22-37-41,1725197861,70.02711415290833,490.13238883018494,2768940,v1,143.248.233.21,490.13238883018494,7,186251,346518,481595,346518,13898,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.455,0.011,0.305,0.23,0.018,186251,346518,481595,346518,13898,87.65799999999999,60.03400000000001,21,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",170.231,1903.2,14028.13,136202.957,[],[]
30,60,0,626687,483119,237918,483119,51667,136601,5166.6464156343745,13659.958329728282,237918,237918,626687,136601,626687,False,8,2f0eb_00000,2024-09-01_22-38-51,1725197931,70.02665185928345,560.1590406894684,2768940,v1,143.248.233.21,560.1590406894684,8,237918,483119,626687,483119,11281,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.413,0.01,0.281,0.205,0.018,237918,483119,626687,483119,11281,87.92323232323234,60.96161616161617,26,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",161.245,1903.2,13954.6,136202.957,[],[]
30,60,0,861442,557624,324005,557624,86087,74505,8608.616054631082,7450.427348499643,324005,324005,861442,74505,861442,False,9,2f0eb_00000,2024-09-01_22-40-01,1725198001,70.02493619918823,630.1839768886566,2768940,v1,143.248.233.21,630.1839768886566,9,324005,557624,861442,557624,5879,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.379,0.013,0.533,0.45,0.021,324005,557624,861442,557624,5879,86.723,62.099,32,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",144.422,2547.753,7975.978,134601.146,[],[]
30,60,0,1038334,753317,386063,753317,62058,195693,6205.788607270175,19569.264074293762,386063,386063,1038334,195693,1038334,False,10,2f0eb_00000,2024-09-01_22-41-11,1725198071,70.01739358901978,700.2013704776764,2768940,v1,143.248.233.21,700.2013704776764,10,386063,753317,1038334,753317,19465,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.345,0.01,0.229,0.156,0.017,386063,753317,1038334,753317,19465,85.85252525252527,62.43131313131313,38,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",149.95,2815.742,7219.985,120765.413,[],[]
