num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,6466c_00000,2024-09-02_13-48-19,1725252499,70.00923776626587,70.00923776626587,362001,v1,143.248.233.21,70.00923776626587,1,0,0,0,0,82094,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.065,0.006,0.125,0.106,0.005,0,0,0,0,82094,32.364000000000004,39.352999999999994,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,62464,14336,23040,14336,23040,14336,2303.979290957625,1433.5871143736333,23040,23040,62464,14336,62464,False,2,6466c_00000,2024-09-02_13-49-29,1725252569,70.01955652236938,140.02879428863525,362001,v1,143.248.233.21,140.02879428863525,2,23040,14336,62464,14336,20825,1.723066134218243e-13,0.0,3.437421287781735e-14,1140.7692307692307,14830,0,13,1.723066134218243e-13,0.0,3.437421287781735e-14,13,10000.082,0.008,0.18,0.123,0.013,23040,14336,62464,14336,20825,36.09,43.091000000000015,10,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",77.753,125.631,7570.294,37266.272,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026]"
25,50,0,133585,26034,47616,26034,24576,11698,2457.567070753723,1169.7843259145936,47616,47616,133585,11698,133585,False,3,6466c_00000,2024-09-02_13-50-39,1725252639,70.00946116447449,210.03825545310974,362001,v1,143.248.233.21,210.03825545310974,3,47616,26034,133585,26034,19249,3.33510996597397e-13,0.0,6.875269584419094e-14,1202.7307692307693,31271,0,13,3.33510996597397e-13,0.0,6.875269584419094e-14,13,10000.103,0.008,0.185,0.128,0.013,47616,26034,133585,26034,19249,31.92323232323233,42.75353535353535,17,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",57.708,113.441,7349.975,48823.953,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050]"
25,50,0,204681,40880,72704,40880,25088,14846,2508.7968896522934,1484.5981594299246,72704,72704,204681,14846,204681,False,4,6466c_00000,2024-09-02_13-51-49,1725252709,70.00931215286255,280.0475676059723,362001,v1,143.248.233.21,280.0475676059723,4,72704,40880,204681,40880,4107,4.0745185003743245e-13,0.0,8.174542124287335e-14,1246.4594594594594,46119,0,11,4.0745185003743245e-13,0.0,8.174542124287335e-14,11,10000.083,0.006,0.169,0.126,0.01,72704,40880,204681,40880,4107,38.31699999999999,43.02800000000001,26,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",57.102,106.418,7268.281,54494.223,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024]"
25,50,0,283312,58282,97792,58282,25088,17402,2508.781816538042,1740.1873872526712,97792,97792,283312,17402,283312,False,5,6466c_00000,2024-09-02_13-52-59,1725252779,70.00960993766785,350.05717754364014,362001,v1,143.248.233.21,350.05717754364014,5,97792,58282,283312,58282,6126,4.0745185003743245e-13,0.0,8.441164434103143e-14,1323.4791666666667,63527,0,11,4.0745185003743245e-13,0.0,8.441164434103143e-14,11,10000.083,0.007,0.147,0.104,0.01,97792,58282,283312,58282,6126,39.25858585858586,43.72424242424243,35,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",46.564,119.939,7017.506,57101.204,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024]"
25,50,0,366561,74666,123392,74666,25600,16384,2559.974365491068,1638.3835939142837,123392,123392,366561,16384,366561,False,6,6466c_00000,2024-09-02_13-54-09,1725252849,70.00971913337708,420.0668966770172,362001,v1,143.248.233.21,420.0668966770172,6,123392,74666,366561,74666,12470,4.0745185003743245e-13,-3.3306690738754696e-16,6.949441022641168e-14,1369.9666666666667,82198,0,12,4.0745185003743245e-13,-3.3306690738754696e-16,6.949441022641168e-14,12,10000.088,0.007,0.164,0.114,0.011,123392,74666,366561,74666,12470,35.955000000000005,44.333999999999996,45,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",50.81,131.971,6832.603,58622.499,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0, 1.1102230246251565e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 1.1790568521519162e-13, -3.3306690738754696e-16]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024, 1536, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 1775, 1024, 1024, 1024]"
25,50,0,446996,85930,148480,85930,25088,11264,2508.799282226768,1126.399677734467,148480,148480,446996,11264,446996,False,7,6466c_00000,2024-09-02_13-55-19,1725252919,70.01004385948181,490.076940536499,362001,v1,143.248.233.21,490.076940536499,7,148480,85930,446996,85930,34323,4.0745185003743245e-13,-3.3306690738754696e-16,6.145920910702357e-14,1396.2602739726028,101927,0,13,4.0745185003743245e-13,-3.3306690738754696e-16,6.145920910702357e-14,13,10000.078,0.006,0.141,0.099,0.01,148480,85930,446996,85930,34323,37.9030303030303,43.920202020202005,52,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",46.828,122.489,7018.227,59986.073,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0, 1.1102230246251565e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 1.1790568521519162e-13, -3.3306690738754696e-16, 1.6076029396572267e-13, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, -3.3306690738754696e-16, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 1.5565326805244695e-13, 2.220446049250313e-16]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024, 1536, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 1775, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048, 2048, 2048, 1024, 273, 2048, 1024, 2048]"
25,50,0,523481,97706,173568,97706,25088,11776,2508.7947961533723,1177.5975573781134,173568,173568,523481,11776,523481,False,8,6466c_00000,2024-09-02_13-56-29,1725252989,70.00923228263855,560.0861728191376,362001,v1,143.248.233.21,560.0861728191376,8,173568,97706,523481,97706,1436,4.0745185003743245e-13,-3.3306690738754696e-16,6.188589692381483e-14,1386.906976744186,119274,0,13,4.0745185003743245e-13,-3.3306690738754696e-16,6.188589692381483e-14,13,10000.072,0.006,0.158,0.11,0.011,173568,97706,523481,97706,1436,35.889,42.867000000000004,59,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",44.196,115.174,7727.013,61214.333,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0, 1.1102230246251565e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 1.1790568521519162e-13, -3.3306690738754696e-16, 1.6076029396572267e-13, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, -3.3306690738754696e-16, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 1.5565326805244695e-13, 2.220446049250313e-16, 2.220446049250313e-16, 1.9895196601282805e-13, 0.0, 1.6542323066914832e-13, 1.2811973704174306e-13, -3.3306690738754696e-16, 1.2234657731369225e-13, 2.220446049250313e-16, 0.0, 8.060219158778636e-14, 0.0, 0.0, 1.4011014570769476e-13]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024, 1536, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 1775, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048, 2048, 2048, 1024, 273, 2048, 1024, 2048, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2047, 1988, 1024]"
25,50,0,594284,112698,198144,112698,24576,14992,2457.5768556867124,1499.1858813661781,198144,198144,594284,14992,594284,False,9,6466c_00000,2024-09-02_13-57-39,1725253059,70.00931406021118,630.0954868793488,362001,v1,143.248.233.21,630.0954868793488,9,198144,112698,594284,112698,5595,4.0745185003743245e-13,-3.3306690738754696e-16,5.69804974179301e-14,1374.9897959183672,134749,0,12,4.0745185003743245e-13,-3.3306690738754696e-16,5.69804974179301e-14,12,10000.076,0.005,0.138,0.1,0.008,198144,112698,594284,112698,5595,41.18484848484849,43.357575757575766,69,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",54.187,113.689,6872.279,62374.129,"[0.0, 0.0, 1.3100631690576847e-13, 1.1102230246251565e-16, 1.723066134218243e-13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0, 1.1102230246251565e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 1.1790568521519162e-13, -3.3306690738754696e-16, 1.6076029396572267e-13, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, -3.3306690738754696e-16, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 1.5565326805244695e-13, 2.220446049250313e-16, 2.220446049250313e-16, 1.9895196601282805e-13, 0.0, 1.6542323066914832e-13, 1.2811973704174306e-13, -3.3306690738754696e-16, 1.2234657731369225e-13, 2.220446049250313e-16, 0.0, 8.060219158778636e-14, 0.0, 0.0, 1.4011014570769476e-13, 0.0, 2.615685446016869e-13, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 1.1102230246251565e-16]","[1026, 1027, 1026, 1026, 1026, 1026, 2005, 1027, 1026, 1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024, 1536, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 1775, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048, 2048, 2048, 1024, 273, 2048, 1024, 2048, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2047, 1988, 1024, 1024, 2048, 1024, 1024, 2048, 1024, 1025, 2049, 1536, 1588, 61, 1024]"
25,50,0,666346,126516,223232,126516,25088,13818,2508.791865260752,1381.7955195381485,223232,223232,666346,13818,666346,False,10,6466c_00000,2024-09-02_13-58-49,1725253129,70.00921154022217,700.1046984195709,362001,v1,143.248.233.21,700.1046984195709,10,223232,126516,666346,126516,16643,4.1522341120980855e-13,-3.3306690738754696e-16,6.502798299834467e-14,1424.01,142401,0,11,4.1522341120980855e-13,-3.3306690738754696e-16,6.502798299834467e-14,11,10000.073,0.007,0.164,0.115,0.011,223232,126516,666346,126516,16643,33.521,43.332,78,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",45.854,111.795,6968.631,62859.826,"[0.0, 0.0, 1.432187701766452e-13, 2.220446049250313e-16, 2.036149027162537e-13, 3.352873534367973e-14, 0.0, 2.220446049250313e-16, 1.4876988529977098e-13, 0.0, 2.751132655021138e-13, 0.0, 0.0, 0.0, 2.569056078982612e-13, 8.903988657493755e-14, 3.33510996597397e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 9.259260025373806e-14, 1.7386092565629951e-13, 2.220446049250313e-16, 4.0745185003743245e-13, 1.7741363933510002e-13, 3.850253449400043e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.483879851273741e-13, 2.220446049250313e-16, 2.731148640577885e-13, 4.050093593832571e-13, 0.0, 0.0, 2.220446049250313e-16, 0.0, 1.1102230246251565e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, -2.220446049250313e-16, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 1.1790568521519162e-13, -3.3306690738754696e-16, 1.6076029396572267e-13, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, -3.3306690738754696e-16, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 1.5565326805244695e-13, 2.220446049250313e-16, 2.220446049250313e-16, 1.9895196601282805e-13, 0.0, 1.6542323066914832e-13, 1.2811973704174306e-13, -3.3306690738754696e-16, 1.2234657731369225e-13, 2.220446049250313e-16, 0.0, 8.060219158778636e-14, 0.0, 0.0, 1.4011014570769476e-13, 0.0, 2.615685446016869e-13, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 3.934630399271555e-13, 0.0, 3.494982081519993e-13, 6.372680161348399e-14, 4.1522341120980855e-13]","[1026, 1537, 1026, 1026, 1023, 1024, 2050, 1024, 1024, 45, 1538, 2050, 1538, 1024, 1538, 513, 2050, 1024, 1024, 1024, 1536, 1024, 1024, 2048, 2048, 1024, 2048, 1024, 2048, 1024, 1024, 2048, 1024, 2048, 2048, 1024, 2048, 2048, 1024, 1536, 2048, 2048, 1024, 1024, 2048, 2048, 2048, 1775, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048, 2048, 2048, 1024, 273, 2048, 1024, 2048, 2048, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 2048, 1024, 2047, 1988, 1024, 1024, 2048, 1024, 1024, 2048, 1024, 1025, 2049, 1536, 1588, 61, 1024, 1024, 2048, 1024, 1536, 1536, 2048, 2048, 2048, 2047, 460, 2048]"
