num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,67b77_00000,2024-09-02_12-15-22,1725246922,70.01251935958862,70.01251935958862,61148,v1,143.248.233.21,70.01251935958862,1,0,0,0,0,48737,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.049,0.007,0.132,0.112,0.005,0,0,0,0,48737,75.707,45.006,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,4316,4316,2158,4316,2158,4316,215.7992179517477,431.5984359034954,2158,2158,4316,4316,4316,False,2,67b77_00000,2024-09-02_12-16-32,1725246992,70.01633954048157,140.0288589000702,61148,v1,143.248.233.21,140.0288589000702,2,2158,4316,4316,4316,41805,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.055,0.011,0.465,0.369,0.023,2158,4316,4316,4316,41805,77.55454545454545,47.14343434343434,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",191.458,646.815,70853.348,70205.736,[],[]
25,49,0,72180,35516,31577,35516,29419,31200,2839.123201823338,3011.001186202391,31577,31577,72180,31200,72180,False,3,67b77_00000,2024-09-02_12-17-42,1725247062,70.3781430721283,210.4070019721985,61148,v1,143.248.233.21,210.4070019721985,3,31577,35516,72180,35516,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10120.709,0.008,44.118,0.587,1.318,31577,35516,72180,35516,0,77.06,49.948999999999984,6,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",105.782,646.815,25025.76,70205.736,[],[]
25,50,0,241059,57554,93522,57554,61945,22038,6194.426895110295,2203.773991677144,93522,93522,241059,22038,241059,False,4,67b77_00000,2024-09-02_12-18-52,1725247132,70.01663136482239,280.4236333370209,61148,v1,143.248.233.21,280.4236333370209,4,93522,57554,241059,57554,8348,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10090.566,0.009,0.186,0.131,0.012,93522,57554,241059,57554,8348,78.59292929292928,53.153535353535354,11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",68.952,635.45,15293.874,108038.34,[],[]
25,49,0,429894,129379,162892,129379,69370,71825,6928.788477477111,7173.997872204029,162892,162892,429894,71825,429894,False,5,67b77_00000,2024-09-02_12-20-02,1725247202,70.03423929214478,350.45787262916565,61148,v1,143.248.233.21,350.45787262916565,5,162892,129379,429894,129379,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10074.827,0.009,22.257,0.508,2.158,162892,129379,429894,129379,0,80.19595959595961,53.774747474747485,18,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",46.751,505.402,7538.312,94366.974,[],[]
25,49,0,612707,254346,237103,254346,74211,124967,6976.480879488439,11747.98730736726,237103,237103,612707,124967,612707,False,6,67b77_00000,2024-09-02_12-21-13,1725247273,70.8061351776123,421.26400780677795,61148,v1,143.248.233.21,421.26400780677795,6,237103,254346,612707,254346,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10168.579,0.008,89.793,1.081,1.182,237103,254346,612707,254346,0,78.933,54.552,25,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",60.336,505.402,7100.434,94366.974,[],[]
25,50,0,717272,400530,279267,400530,42164,146184,4216.258060923051,14617.907892466923,279267,279267,717272,146184,717272,False,7,67b77_00000,2024-09-02_12-22-23,1725247343,70.01395797729492,491.2779657840729,61148,v1,143.248.233.21,491.2779657840729,7,279267,400530,717272,400530,17920,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10144.548,0.009,0.316,0.246,0.016,279267,400530,717272,400530,17920,79.74600000000001,55.093999999999994,32,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",49.153,1986.907,7057.678,102499.905,[],[]
25,38,0,953819,467354,366812,467354,87545,66824,8363.823110238201,6384.192307025616,366812,366812,953819,66824,953819,False,8,67b77_00000,2024-09-02_12-23-34,1725247414,70.6740334033966,561.9519991874695,61148,v1,143.248.233.21,561.9519991874695,8,366812,467354,953819,467354,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10184.87,0.011,1046.998,5.956,5.605,366812,467354,953819,467354,0,74.712,56.48299999999999,36,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",53.956,1807.23,7671.159,96211.886,[],[]
25,50,0,1129171,576018,430739,576018,63927,108664,6392.67424216397,10866.356216473565,430739,430739,1129171,108664,1129171,False,9,67b77_00000,2024-09-02_12-24-44,1725247484,70.02845644950867,631.9804556369781,61148,v1,143.248.233.21,631.9804556369781,9,430739,576018,1129171,576018,392,0.0,0.0,0.0,1725.0,1725,0,1,0.0,0.0,0.0,1,10164.336,0.01,0.256,0.181,0.017,430739,576018,1129171,576018,392,79.20909090909092,56.22323232323234,42,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",63.178,1705.346,14251.437,91241.715,[0.0],[1725]
25,50,0,1278009,721133,488236,721133,57497,145115,5749.599793685694,14511.247092208281,488236,488236,1278009,145115,1278009,False,10,67b77_00000,2024-09-02_12-25-54,1725247554,70.01902675628662,701.9994823932648,61148,v1,143.248.233.21,701.9994823932648,10,488236,721133,1278009,721133,11972,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10147.921,0.01,0.273,0.197,0.018,488236,721133,1278009,721133,11972,78.3080808080808,56.763636363636365,47,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",64.826,1705.346,7312.67,91241.715,[0.0],[1725]
25,50,0,1488709,800302,572658,800302,84422,79169,8442.077222368582,7916.784861975531,572658,572658,1488709,79169,1488709,False,11,67b77_00000,2024-09-02_12-27-04,1725247624,70.01769971847534,772.0171821117401,61148,v1,143.248.233.21,772.0171821117401,11,572658,800302,1488709,800302,3395,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10147.933,0.009,0.226,0.153,0.016,572658,800302,1488709,800302,3395,77.10202020202021,57.43232323232323,51,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",62.857,1651.192,14016.985,97170.008,[0.0],[1725]
25,50,0,1636771,912593,635697,912593,63039,112291,6303.703418062429,11228.749829750603,635697,635697,1636771,112291,1636771,False,12,67b77_00000,2024-09-02_12-28-14,1725247694,70.03054475784302,842.0477268695831,61148,v1,143.248.233.21,842.0477268695831,12,635697,912593,1636771,912593,10539,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10147.96,0.009,0.243,0.157,0.033,635697,912593,1636771,912593,10539,79.04444444444445,57.71010101010101,57,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",61.133,1651.192,14183.795,97170.008,[0.0],[1725]
25,50,0,1829980,1057305,706949,1057305,71252,144712,7125.0610425011455,14470.91777890341,706949,706949,1829980,144712,1829980,False,13,67b77_00000,2024-09-02_12-29-24,1725247764,70.0367739200592,912.0845007896423,61148,v1,143.248.233.21,912.0845007896423,13,706949,1057305,1829980,1057305,3891,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10111.781,0.009,0.211,0.148,0.013,706949,1057305,1829980,1057305,3891,78.967,57.736000000000004,62,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",67.252,1647.363,7292.546,101588.55,[0.0],[1725]
25,50,0,2003888,1142546,771640,1142546,64691,85241,6469.090745891458,8524.087806194582,771640,771640,2003888,85241,2003888,False,14,67b77_00000,2024-09-02_12-30-34,1725247834,70.01490998268127,982.0994107723236,61148,v1,143.248.233.21,982.0994107723236,14,771640,1142546,2003888,1142546,839,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10111.77,0.009,0.214,0.15,0.015,771640,1142546,2003888,1142546,839,79.62346938775511,57.536734693877555,68,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",49.663,1624.282,7511.587,97702.777,[0.0],[1725]
25,50,0,2167348,1251422,839594,1251422,67954,108876,6795.365490988503,10887.544709610387,839594,839594,2167348,108876,2167348,False,15,67b77_00000,2024-09-02_12-31-44,1725247904,70.0356433391571,1052.1350541114807,61148,v1,143.248.233.21,1052.1350541114807,15,839594,1251422,2167348,1251422,1449,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10110.592,0.008,0.204,0.14,0.016,839594,1251422,2167348,1251422,1449,79.08080808080808,57.62626262626262,75,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",39.878,1624.282,7386.441,97702.777,[0.0],[1725]
25,50,0,2250394,1430685,873534,1430685,33940,179263,3393.877816307482,17925.654654824048,873534,873534,2250394,179263,2250394,False,16,67b77_00000,2024-09-02_12-32-54,1725247974,70.01501393318176,1122.1500680446625,61148,v1,143.248.233.21,1122.1500680446625,16,873534,1430685,2250394,1430685,22529,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10046.896,0.009,0.367,0.229,0.019,873534,1430685,2250394,1430685,22529,77.383,56.95899999999999,79,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",58.457,1499.676,6919.033,100747.876,[0.0],[1725]
25,50,0,2405482,1475976,936840,1475976,63306,45291,6330.464615756027,4529.003142075099,936840,936840,2405482,45291,2405482,False,17,67b77_00000,2024-09-02_12-34-04,1725248044,70.01394557952881,1192.1640136241913,61148,v1,143.248.233.21,1192.1640136241913,17,936840,1475976,2405482,1475976,2616,0.0,0.0,0.0,1725.0,1725,0,0,0.0,0.0,0.0,0,10046.883,0.008,0.207,0.142,0.015,936840,1475976,2405482,1475976,2616,79.14848484848486,57.843434343434346,86,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",75.019,1499.676,7653.06,100747.876,[0.0],[1725]
