num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
30,60,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,91067_00000,2024-09-01_22-54-54,1725198894,70.02290797233582,70.02290797233582,2829299,v1,143.248.233.21,70.02290797233582,1,0,0,0,0,44387,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.175,0.008,0.163,0.139,0.006,0,0,0,0,44387,72.86300000000001,54.58299999999999,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
30,60,0,98201,49049,34987,49049,34987,49049,3498.559200288532,4904.702609968052,34987,34987,98201,49049,98201,False,2,91067_00000,2024-09-01_22-56-04,1725198964,70.02802157402039,140.0509295463562,2829299,v1,143.248.233.21,140.0509295463562,2,34987,49049,98201,49049,43630,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,5,1.270095140171179e-13,0.0,2.5401902803423583e-14,5,10000.295,0.01,0.599,0.535,0.014,34987,49049,98201,49049,43630,71.90800000000002,54.719999999999985,4,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",131.833,868.69,18482.456,70398.84,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,162034,98591,58475,98591,23488,49542,2348.7866161346137,4954.1717701184025,58475,58475,162034,49542,162034,False,3,91067_00000,2024-09-01_22-57-14,1725199034,70.01902151107788,210.06995105743408,2829299,v1,143.248.233.21,210.06995105743408,3,58475,98591,162034,98591,28987,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.221,0.01,0.208,0.142,0.015,58475,98591,162034,98591,28987,81.05757575757576,56.263636363636365,8,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",193.506,868.69,18420.658,70398.84,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,210252,132317,76391,132317,17916,33726,1791.5506227369335,3372.5070497000347,76391,76391,210252,33726,210252,False,4,91067_00000,2024-09-01_22-58-24,1725199104,70.01632046699524,280.0862715244293,2829299,v1,143.248.233.21,280.0862715244293,4,76391,132317,210252,132317,2172,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.24,0.012,0.433,0.327,0.031,76391,132317,210252,132317,2172,83.54444444444444,58.553535353535345,11,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",197.883,1250.574,14756.016,104041.211,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,362868,202009,135134,202009,58743,69692,5874.255042937546,6969.146663473154,135134,135134,362868,69692,362868,False,5,91067_00000,2024-09-01_22-59-34,1725199174,70.01719236373901,350.10346388816833,2829299,v1,143.248.233.21,350.10346388816833,5,135134,202009,362868,202009,27854,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.212,0.01,0.328,0.257,0.016,135134,202009,362868,202009,27854,84.685,60.794,15,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",230.13,1250.574,14581.723,104041.211,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,586087,263300,224984,263300,89850,61291,8984.989074839525,6129.0925474233645,224984,224984,586087,61291,586087,False,6,91067_00000,2024-09-01_23-00-44,1725199244,70.04558873176575,420.1490526199341,2829299,v1,143.248.233.21,420.1490526199341,6,224984,263300,586087,263300,8983,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.182,0.01,0.294,0.217,0.017,224984,263300,586087,263300,8983,87.12626262626263,63.107070707070704,21,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",203.676,1560.282,14397.904,114459.364,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,781038,386906,303171,386906,78187,123606,7818.434744247411,12360.180656598226,303171,303171,781038,123606,781038,False,7,91067_00000,2024-09-01_23-01-54,1725199314,70.25046825408936,490.39952087402344,2829299,v1,143.248.233.21,490.39952087402344,7,303171,386906,781038,386906,2715,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.209,0.009,0.469,0.397,0.017,303171,386906,781038,386906,2715,96.52626262626264,65.34444444444443,27,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",205.817,1493.873,8034.949,101324.884,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,860201,557176,334301,557176,31130,170270,3112.6288715127366,17024.970059507665,334301,334301,860201,170270,860201,False,8,91067_00000,2024-09-01_23-03-04,1725199384,70.02636647224426,560.4258873462677,2829299,v1,143.248.233.21,560.4258873462677,8,334301,557176,860201,557176,17736,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10000.336,0.011,0.821,0.724,0.025,334301,557176,860201,557176,17736,85.79494949494948,64.11717171717171,31,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",231.311,1493.873,13187.403,101324.884,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,59,0,1061437,612803,411852,612803,77551,55627,7729.701826978045,5544.4819993205465,411852,411852,1061437,55627,1061437,False,9,91067_00000,2024-09-01_23-04-15,1725199455,70.18761467933655,630.6135020256042,2829299,v1,143.248.233.21,630.6135020256042,9,411852,612803,1061437,612803,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10003.952,0.009,9.394,0.883,2.133,411852,612803,1061437,612803,0,84.54444444444447,63.74141414141414,37,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",245.395,1766.513,13358.194,105644.754,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
30,60,0,1255203,776463,491050,776463,79198,163660,7919.65215454967,16365.694482355602,491050,491050,1255203,163660,1255203,False,10,91067_00000,2024-09-01_23-05-25,1725199525,70.02353930473328,700.6370413303375,2829299,v1,143.248.233.21,700.6370413303375,10,491050,776463,1255203,776463,1967,1.270095140171179e-13,0.0,2.5401902803423583e-14,1154.6,5773,0,0,1.270095140171179e-13,0.0,2.5401902803423583e-14,0,10003.577,0.01,0.332,0.265,0.015,491050,776463,1255203,776463,1967,82.96161616161616,64.38282828282829,44,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",206.158,1745.59,7193.378,99157.869,"[0.0, 1.270095140171179e-13, 0.0, 0.0, 0.0]","[856, 955, 922, 1858, 1182]"
