num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
1,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,a92b7_00000,2024-09-01_19-48-37,1725187717,28.228142738342285,28.228142738342285,2205314,v1,143.248.233.21,28.228142738342285,1,0,0,0,0,101859,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.042,0.004,0.105,0.083,0.005,0,0,0,0,101859,9.034146341463414,10.58780487804878,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,2304,0,768,0,768,0,76.79957702869669,0.0,768,768,2304,0,2304,False,2,a92b7_00000,2024-09-01_19-49-06,1725187746,28.977915048599243,57.20605778694153,2205314,v1,143.248.233.21,57.20605778694153,2,768,0,2304,0,941,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.052,0.002,0.084,0.072,0.003,768,0,2304,0,941,8.98048780487805,10.600000000000001,0,nan,nan,-1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,3840,0,1280,0,512,0,51.1995544472367,0.0,1280,1280,3840,0,3840,False,3,a92b7_00000,2024-09-01_19-49-26,1725187766,20.665961742401123,77.87201952934265,2205314,v1,143.248.233.21,77.87201952934265,3,1280,0,3840,0,100911,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.066,0.004,0.107,0.085,0.006,1280,0,3840,0,100911,9.179310344827586,10.600000000000003,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,6144,0,2048,0,768,0,76.7999853515653,0.0,2048,2048,6144,0,6144,False,4,a92b7_00000,2024-09-01_19-49-55,1725187795,28.807056188583374,106.67907571792603,2205314,v1,143.248.233.21,106.67907571792603,4,2048,0,6144,0,8374,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.052,0.002,0.087,0.073,0.004,2048,0,6144,0,8374,9.114634146341464,10.651219512195121,0,nan,nan,-1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,8448,0,2816,0,768,0,76.79981872601381,0.0,2816,2816,8448,0,8448,False,5,a92b7_00000,2024-09-01_19-50-24,1725187824,29.444467306137085,136.1235430240631,2205314,v1,143.248.233.21,136.1235430240631,5,2816,0,8448,0,2704,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.047,0.002,0.084,0.071,0.003,2816,0,8448,0,2704,9.021428571428572,10.673809523809522,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,10752,0,3584,0,768,0,76.79956787352519,0.0,3584,3584,10752,0,10752,False,6,a92b7_00000,2024-09-01_19-50-54,1725187854,29.181901693344116,165.30544471740723,2205314,v1,143.248.233.21,165.30544471740723,6,3584,0,10752,0,4992,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.05,0.002,0.085,0.072,0.004,3584,0,10752,0,4992,9.076190476190476,10.697619047619048,0,nan,nan,-1.0,0.0,0.0,0.0,0.0,[],[]
1,2,0,13056,12288,4352,12288,768,12288,76.79983337438495,1228.7973339901591,4352,4352,13056,12288,13056,False,7,a92b7_00000,2024-09-01_19-51-24,1725187884,29.925644397735596,195.23108911514282,2205314,v1,143.248.233.21,195.23108911514282,7,4352,12288,13056,12288,3194,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.047,0.003,0.106,0.071,0.008,4352,12288,13056,12288,3194,8.657142857142857,10.802380952380954,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",229.13,602.381,165992.476,165389.878,[],[]
1,2,0,15360,12288,5120,12288,768,0,76.79985168485673,0.0,5120,5120,15360,0,15360,False,8,a92b7_00000,2024-09-01_19-51-54,1725187914,29.97220468521118,225.203293800354,2205314,v1,143.248.233.21,225.203293800354,8,5120,12288,15360,12288,340,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.044,0.002,0.106,0.072,0.007,5120,12288,15360,12288,340,8.579069767441858,10.806976744186047,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",229.13,602.381,165992.476,165389.878,[],[]
1,2,0,17664,12288,5888,12288,768,0,76.79928223327076,0.0,5888,5888,17664,0,17664,False,9,a92b7_00000,2024-09-01_19-52-23,1725187943,29.528006553649902,254.7313003540039,2205314,v1,143.248.233.21,254.7313003540039,9,5888,12288,17664,12288,4312,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.051,0.002,0.107,0.073,0.008,5888,12288,17664,12288,4312,8.533333333333335,10.87142857142857,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",229.13,602.381,165992.476,165389.878,[],[]
1,2,0,19725,12288,6656,12288,768,0,76.79935913620716,0.0,6656,6656,19725,0,19725,False,10,a92b7_00000,2024-09-01_19-52-48,1725187968,25.150357484817505,279.8816578388214,2205314,v1,143.248.233.21,279.8816578388214,10,6656,12288,19725,12288,11379,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.055,0.003,0.127,0.084,0.01,6656,12288,19725,12288,11379,8.597222222222221,10.89722222222222,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",229.13,602.381,165992.476,165389.878,[],[]
1,2,0,21300,12288,7424,12288,768,0,76.79957153559353,0.0,7424,7424,21300,0,21300,False,11,a92b7_00000,2024-09-01_19-53-12,1725187992,23.74769926071167,303.6293570995331,2205314,v1,143.248.233.21,303.6293570995331,11,7424,12288,21300,12288,20139,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.057,0.002,0.11,0.075,0.008,7424,12288,21300,12288,20139,8.617647058823529,10.899999999999999,1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",229.13,602.381,165992.476,165389.878,[],[]
1,2,0,22875,22875,8192,22875,768,10587,76.7992163165907,1058.6891968017524,8192,8192,22875,10587,22875,False,12,a92b7_00000,2024-09-01_19-53-37,1725188017,24.697165727615356,328.32652282714844,2205314,v1,143.248.233.21,328.32652282714844,12,8192,22875,22875,22875,14877,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.062,0.003,0.12,0.078,0.01,8192,22875,22875,22875,14877,8.677142857142856,10.94285714285714,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[],[]
1,2,0,24450,22875,8960,22875,768,0,76.79992126472915,0.0,8960,8960,24450,0,24450,False,13,a92b7_00000,2024-09-01_19-54-02,1725188042,24.894874811172485,353.2213976383209,2205314,v1,143.248.233.21,353.2213976383209,13,8960,22875,24450,22875,11700,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.054,0.002,0.105,0.072,0.007,8960,22875,24450,22875,11700,8.654285714285715,10.942857142857141,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[],[]
1,2,0,26025,22875,9728,22875,768,0,76.79932434676446,0.0,9728,9728,26025,0,26025,False,14,a92b7_00000,2024-09-01_19-54-26,1725188066,24.244730949401855,377.4661285877228,2205314,v1,143.248.233.21,377.4661285877228,14,9728,22875,26025,22875,18687,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.063,0.002,0.104,0.069,0.008,9728,22875,26025,22875,18687,8.642857142857142,10.928571428571427,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[],[]
1,2,0,27600,22875,10496,22875,768,0,76.7991906823568,0.0,10496,10496,27600,0,27600,False,15,a92b7_00000,2024-09-01_19-54-51,1725188091,24.624868869781494,402.0909974575043,2205314,v1,143.248.233.21,402.0909974575043,15,10496,22875,27600,22875,17730,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.071,0.002,0.11,0.073,0.008,10496,22875,27600,22875,17730,8.628571428571428,10.945714285714283,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[],[]
1,2,0,29175,22875,11264,22875,768,0,76.79966674949293,0.0,11264,11264,29175,0,29175,False,16,a92b7_00000,2024-09-01_19-55-15,1725188115,24.875860691070557,426.96685814857483,2205314,v1,143.248.233.21,426.96685814857483,16,11264,22875,29175,22875,14840,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.07,0.002,0.109,0.074,0.008,11264,22875,29175,22875,14840,8.594285714285713,11.0,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[],[]
1,2,0,30750,22875,12032,22875,768,0,76.7994030808114,0.0,12032,12032,30750,0,30750,False,17,a92b7_00000,2024-09-01_19-55-49,1725188149,33.936949253082275,460.9038074016571,2205314,v1,143.248.233.21,460.9038074016571,17,12032,22875,30750,22875,13875,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,1,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,1,10000.075,0.002,0.106,0.072,0.008,12032,22875,30750,22875,13875,8.939583333333333,10.983333333333334,2,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",160.859,602.381,156083.301,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,32602,31275,12800,31275,768,8400,76.79964660807144,839.9961347757813,12800,12800,32602,8400,32602,False,18,a92b7_00000,2024-09-01_19-56-19,1725188179,29.749863624572754,490.65367102622986,2205314,v1,143.248.233.21,490.65367102622986,18,12800,31275,32602,31275,1786,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.078,0.002,0.107,0.071,0.008,12800,31275,32602,31275,1786,8.595348837209302,11.0,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,34138,31275,13312,31275,512,0,51.1996923846607,0.0,13312,13312,34138,0,34138,False,19,a92b7_00000,2024-09-01_19-56-39,1725188199,20.129616022109985,510.78328704833984,2205314,v1,143.248.233.21,510.78328704833984,19,13312,31275,34138,31275,88493,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.075,0.002,0.106,0.073,0.007,13312,31275,34138,31275,88493,8.567857142857141,11.0,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,36442,31275,14080,31275,768,0,76.79942322210515,0.0,14080,14080,36442,0,36442,False,20,a92b7_00000,2024-09-01_19-57-08,1725188228,29.102811098098755,539.8860981464386,2205314,v1,143.248.233.21,539.8860981464386,20,14080,31275,36442,31275,486,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.074,0.002,0.106,0.071,0.008,14080,31275,36442,31275,486,8.571428571428571,11.0,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,37978,31275,14592,31275,512,0,51.19948975117884,0.0,14592,14592,37978,0,37978,False,21,a92b7_00000,2024-09-01_19-57-29,1725188249,20.556551456451416,560.44264960289,2205314,v1,143.248.233.21,560.44264960289,21,14592,31275,37978,31275,88719,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.078,0.002,0.106,0.072,0.007,14592,31275,37978,31275,88719,8.648275862068965,11.00344827586207,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,40282,31275,15360,31275,768,0,76.79955871835587,0.0,15360,15360,40282,0,40282,False,22,a92b7_00000,2024-09-01_19-57-58,1725188278,29.154248476028442,589.5968980789185,2205314,v1,143.248.233.21,589.5968980789185,22,15360,31275,40282,31275,2844,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.074,0.002,0.107,0.072,0.008,15360,31275,40282,31275,2844,8.575609756097561,11.0,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
1,2,0,42400,31275,16128,31275,768,0,76.79913941394032,0.0,16128,16128,42400,0,42400,False,23,a92b7_00000,2024-09-01_19-58-22,1725188302,23.64386296272278,613.2407610416412,2205314,v1,143.248.233.21,613.2407610416412,23,16128,31275,42400,31275,19174,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,12510.0,12510,0,0,1.3711254354120683e-12,1.3711254354120683e-12,1.3711254354120683e-12,0,10000.084,0.003,0.121,0.079,0.009,16128,31275,42400,31275,19174,8.547058823529412,11.014705882352942,3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",141.453,602.381,153716.052,165389.878,[1.3711254354120683e-12],[12510]
