num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,aec47_00000,2024-09-02_10-22-18,1725240138,38.727418661117554,38.727418661117554,3866939,v1,143.248.233.21,38.727418661117554,1,0,0,0,0,46419,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.048,0.008,0.156,0.132,0.007,0,0,0,0,46419,67.72857142857143,39.64821428571429,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,80896,6656,25600,6656,25600,6656,2559.9620366957943,665.5901295409066,25600,25600,80896,6656,80896,False,2,aec47_00000,2024-09-02_10-22-56,1725240176,38.03283667564392,76.76025533676147,3866939,v1,143.248.233.21,76.76025533676147,2,25600,6656,80896,6656,43155,0.0,0.0,0.0,1528.0,3056,0,2,0.0,0.0,0.0,2,10000.103,0.008,0.188,0.128,0.014,25600,6656,80896,6656,43155,52.10555555555557,42.05925925925928,4,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",98.569,310.613,10023.663,39048.385,"[0.0, 0.0]","[2030, 1026]"
25,50,0,163553,15872,52224,15872,26624,9216,2662.38781255579,921.5957812693118,52224,52224,163553,9216,163553,False,3,aec47_00000,2024-09-02_10-23-44,1725240224,48.35404062271118,125.11429595947266,3866939,v1,143.248.233.21,125.11429595947266,3,52224,15872,163553,15872,2670,4.2543746303636e-13,-2.220446049250313e-16,1.723322339531618e-13,2013.3076923076924,52346,0,24,4.2543746303636e-13,-2.220446049250313e-16,1.723322339531618e-13,24,10000.087,0.005,0.139,0.1,0.009,52224,15872,163553,15872,2670,58.76323529411765,40.482352941176465,10,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",69.938,190.824,8585.887,43001.338,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050]"
25,50,0,241912,21324,77824,21324,25600,5452,2559.9718631022242,545.1940077200518,77824,77824,241912,5452,241912,False,4,aec47_00000,2024-09-02_10-24-30,1725240270,46.306713819503784,171.42100977897644,3866939,v1,143.248.233.21,171.42100977897644,4,77824,21324,241912,21324,45128,4.2543746303636e-13,-2.220446049250313e-16,1.64182843565774e-13,1929.344827586207,55951,0,3,4.2543746303636e-13,-2.220446049250313e-16,1.64182843565774e-13,3,10000.095,0.007,0.168,0.117,0.012,77824,21324,241912,21324,45128,49.404545454545456,41.71060606060606,14,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",66.247,190.824,8520.517,43001.338,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025]"
25,50,0,325868,26954,103424,26954,25600,5630,2559.959473297828,562.9910872916707,103424,103424,325868,5630,325868,False,5,aec47_00000,2024-09-02_10-25-18,1725240318,47.8461480140686,219.26715779304504,3866939,v1,143.248.233.21,219.26715779304504,5,103424,26954,325868,26954,61337,4.276579090856103e-13,-3.3306690738754696e-16,1.4671053043448589e-13,1968.686274509804,100403,0,22,4.276579090856103e-13,-3.3306690738754696e-16,1.4671053043448589e-13,22,10000.111,0.005,0.143,0.102,0.01,103424,26954,325868,26954,61337,56.55882352941176,40.316176470588246,18,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",65.452,178.229,9404.509,57111.344,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048]"
25,50,0,404736,34632,131584,34632,28160,7678,2815.9916748293,767.7977300901763,131584,131584,404736,7678,404736,False,6,aec47_00000,2024-09-02_10-26-02,1725240362,43.864469051361084,263.1316268444061,3866939,v1,143.248.233.21,263.1316268444061,6,131584,34632,404736,34632,20,4.276579090856103e-13,-3.3306690738754696e-16,1.2471505309955924e-13,1878.1833333333334,112691,0,9,4.276579090856103e-13,-3.3306690738754696e-16,1.2471505309955924e-13,9,10000.1,0.007,0.182,0.129,0.012,131584,34632,404736,34632,20,50.624193548387105,41.18387096774195,27,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",57.091,141.421,5684.565,57108.751,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048, 1025, 2048, 1024, 2048, 1024, 1024, 2047, 1024, 1024]"
25,50,0,483451,47945,159232,47945,27648,13313,2764.760383868439,1331.2809241334103,159232,159232,483451,13313,483451,False,7,aec47_00000,2024-09-02_10-26-50,1725240410,47.46360206604004,310.59522891044617,3866939,v1,143.248.233.21,310.59522891044617,7,159232,47945,483451,47945,912,4.276579090856103e-13,-3.3306690738754696e-16,1.2357778618074451e-13,1950.551282051282,152143,0,18,4.276579090856103e-13,-3.3306690738754696e-16,1.2357778618074451e-13,18,10000.107,0.006,0.136,0.095,0.009,159232,47945,483451,47945,912,54.417647058823526,40.755882352941185,35,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",51.804,125.724,4322.962,54358.055,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 3.885780586188048e-13, 0.0, 9.57012247226885e-14, -3.3306690738754696e-16, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 1.2856382625159313e-13, 0.0, 0.0, 0.0, 4.192202140984591e-13, 3.9834802123550617e-13, 0.0, 3.133049375492192e-13, 0.0, 4.1255887595070817e-13, -2.220446049250313e-16]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048, 1025, 2048, 1024, 2048, 1024, 1024, 2047, 1024, 1024, 2048, 2560, 2048, 2048, 2048, 1997, 2048, 2048, 2561, 2126, 2560, 2048, 2048, 2560, 2048, 2560, 2048, 2048]"
25,50,0,560606,53065,185344,53065,26112,5120,2611.145900779062,511.98939230962,185344,185344,560606,5120,560606,False,8,aec47_00000,2024-09-02_10-27-35,1725240455,44.883535861968994,355.47876477241516,3866939,v1,143.248.233.21,355.47876477241516,8,185344,53065,560606,53065,158,4.276579090856103e-13,-3.3306690738754696e-16,1.2233509224792026e-13,1964.0804597701149,170875,0,9,4.276579090856103e-13,-3.3306690738754696e-16,1.2233509224792026e-13,9,10000.121,0.008,0.194,0.132,0.014,185344,53065,560606,53065,158,49.4015625,41.267187500000006,40,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",61.085,125.724,5617.103,54358.055,"[0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 3.885780586188048e-13, 0.0, 9.57012247226885e-14, -3.3306690738754696e-16, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 1.2856382625159313e-13, 0.0, 0.0, 0.0, 4.192202140984591e-13, 3.9834802123550617e-13, 0.0, 3.133049375492192e-13, 0.0, 4.1255887595070817e-13, -2.220446049250313e-16, 3.956834859764058e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.8702374638432957e-13, 1.9095836023552692e-14, 2.020605904817785e-13, 0.0]","[2030, 1026, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048, 1025, 2048, 1024, 2048, 1024, 1024, 2047, 1024, 1024, 2048, 2560, 2048, 2048, 2048, 1997, 2048, 2048, 2561, 2126, 2560, 2048, 2048, 2560, 2048, 2560, 2048, 2048, 2047, 2560, 2349, 2560, 2048, 2048, 2048, 2048, 1024]"
25,50,0,640298,61159,212992,61159,27648,8094,2764.757483563974,809.3875532395401,212992,212992,640298,8094,640298,False,9,aec47_00000,2024-09-02_10-28-21,1725240501,46.25200867652893,401.7307734489441,3866939,v1,143.248.233.21,401.7307734489441,9,212992,61159,640298,61159,172,4.276579090856103e-13,-3.3306690738754696e-16,1.352840062196492e-13,1974.86,197486,0,16,4.276579090856103e-13,-3.3306690738754696e-16,1.352840062196492e-13,16,10000.126,0.008,0.19,0.131,0.014,212992,61159,640298,61159,172,57.74696969696969,40.70606060606061,48,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",44.807,124.691,5370.407,59119.946,"[-2.220446049250313e-16, 4.2543746303636e-13, 4.0456527017340704e-13, 0.0, 3.5771385853422544e-13, 2.220446049250313e-16, 1.1013412404281553e-13, 2.220446049250313e-16, 4.105604745063829e-13, 3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 3.885780586188048e-13, 0.0, 9.57012247226885e-14, -3.3306690738754696e-16, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 1.2856382625159313e-13, 0.0, 0.0, 0.0, 4.192202140984591e-13, 3.9834802123550617e-13, 0.0, 3.133049375492192e-13, 0.0, 4.1255887595070817e-13, -2.220446049250313e-16, 3.956834859764058e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.8702374638432957e-13, 1.9095836023552692e-14, 2.020605904817785e-13, 0.0, 0.0, 4.1455727739503345e-13, 2.220446049250313e-16, -3.3306690738754696e-16, 4.2743586448068527e-13, 0.0, 4.2010839251815923e-13, -3.3306690738754696e-16, 0.0, 4.001243780749064e-13, 4.1033842990145786e-13, 2.220446049250313e-16, 4.440892098500626e-16, 0.0, 4.212186155427844e-13, 3.914646384828302e-13]","[2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048, 1025, 2048, 1024, 2048, 1024, 1024, 2047, 1024, 1024, 2048, 2560, 2048, 2048, 2048, 1997, 2048, 2048, 2561, 2126, 2560, 2048, 2048, 2560, 2048, 2560, 2048, 2048, 2047, 2560, 2349, 2560, 2048, 2048, 2048, 2048, 1024, 2048, 2048, 2048, 2048, 2048, 1587, 2048, 2047, 1458, 2048, 2048, 2048, 2048, 2049, 2048, 2048]"
25,50,0,718124,71907,240128,71907,27136,10748,2713.590877716213,1074.796386854874,240128,240128,718124,10748,718124,False,10,aec47_00000,2024-09-02_10-29-04,1725240544,43.49669122695923,445.2274646759033,3866939,v1,143.248.233.21,445.2274646759033,10,240128,71907,718124,71907,97,4.276579090856103e-13,-7.771561172376096e-16,1.2485790179539434e-13,1987.03,198703,0,9,4.276579090856103e-13,-7.771561172376096e-16,1.2485790179539434e-13,9,10000.118,0.006,0.161,0.115,0.01,240128,71907,718124,71907,97,51.596721311475406,41.16229508196722,55,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",47.258,138.32,4626.101,57267.066,"[3.856914787547794e-13, 3.574918139293004e-13, 4.2232883856740955e-13, 4.007905118896815e-13, 0.0, 4.8960835385969403e-14, -2.220446049250313e-16, 0.0, 3.439470930288735e-13, -2.220446049250313e-16, 3.9124259387790516e-13, 1.1102230246251565e-16, 0.0, 4.2166270475263445e-13, 2.8066438062523957e-13, 0.0, 0.0, 0.0, 0.0, 4.276579090856103e-13, 2.220446049250313e-16, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 7.860379014346108e-14, -2.220446049250313e-16, 3.310685059432217e-13, 2.220446049250313e-16, 3.823608096809039e-13, 4.234390615920347e-13, 1.1102230246251565e-16, -3.3306690738754696e-16, 3.559375016948252e-13, -2.220446049250313e-16, 0.0, 4.0478731477833207e-13, 3.170796958329447e-13, 0.0, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0, 3.885780586188048e-13, 0.0, 9.57012247226885e-14, -3.3306690738754696e-16, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 1.2856382625159313e-13, 0.0, 0.0, 0.0, 4.192202140984591e-13, 3.9834802123550617e-13, 0.0, 3.133049375492192e-13, 0.0, 4.1255887595070817e-13, -2.220446049250313e-16, 3.956834859764058e-13, 0.0, 0.0, 0.0, 2.220446049250313e-16, 3.8702374638432957e-13, 1.9095836023552692e-14, 2.020605904817785e-13, 0.0, 0.0, 4.1455727739503345e-13, 2.220446049250313e-16, -3.3306690738754696e-16, 4.2743586448068527e-13, 0.0, 4.2010839251815923e-13, -3.3306690738754696e-16, 0.0, 4.001243780749064e-13, 4.1033842990145786e-13, 2.220446049250313e-16, 4.440892098500626e-16, 0.0, 4.212186155427844e-13, 3.914646384828302e-13, 3.232969447708456e-13, -7.771561172376096e-16, 2.220446049250313e-16, 0.0, 2.220446049250313e-16, 3.4305891460917337e-13, 0.0, 0.0, 0.0]","[2050, 2050, 2050, 2050, 2050, 2050, 2050, 2140, 2050, 2050, 2050, 2050, 2050, 2050, 1556, 1024, 1025, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 1444, 2048, 2048, 2048, 2048, 2048, 2048, 1025, 2048, 1024, 2048, 1024, 1024, 2047, 1024, 1024, 2048, 2560, 2048, 2048, 2048, 1997, 2048, 2048, 2561, 2126, 2560, 2048, 2048, 2560, 2048, 2560, 2048, 2048, 2047, 2560, 2349, 2560, 2048, 2048, 2048, 2048, 1024, 2048, 2048, 2048, 2048, 2048, 1587, 2048, 2047, 1458, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 1235, 2560, 2048, 2048, 2560, 2560, 2560]"
