num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/num_training_step_calls_since_last_synch_worker_weights,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/num_training_step_calls_since_last_synch_worker_weights,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,f0dc8_00000,2024-09-02_10-46-08,1725241568,70.01389479637146,70.01389479637146,3970312,v1,143.248.233.21,70.01389479637146,1,0,0,0,0,48784,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.165,0.009,0.252,0.222,0.008,0,0,0,0,48784,72.421,41.14099999999999,0,nan,nan,1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,f0dc8_00000,2024-09-02_10-47-18,1725241638,70.01383399963379,140.02772879600525,3970312,v1,143.248.233.21,140.02772879600525,2,0,0,0,0,102761,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.17,0.01,0.181,0.152,0.007,0,0,0,0,102761,74.07600000000001,42.83900000000001,0,nan,nan,-1.0,0.0,0.0,0.0,0.0,[],[]
25,50,0,106313,56893,39572,56893,39572,56893,3957.1321656697482,5689.2024740081115,39572,39572,106313,56893,106313,False,3,f0dc8_00000,2024-09-02_10-48-28,1725241708,70.01303291320801,210.04076170921326,3970312,v1,143.248.233.21,210.04076170921326,3,39572,56893,106313,56893,7290,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.177,0.01,0.23,0.156,0.017,39572,56893,106313,56893,7290,76.35454545454546,45.670707070707074,6,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",134.33,2561.314,25047.141,140372.545,[],[]
25,50,0,261951,132707,97163,132707,57591,75814,5758.911070880091,7581.15128974498,97163,97163,261951,75814,261951,False,4,f0dc8_00000,2024-09-02_10-49-38,1725241778,70.02328538894653,280.0640470981598,3970312,v1,143.248.233.21,280.0640470981598,4,97163,132707,261951,132707,8744,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.219,0.009,0.298,0.229,0.016,97163,132707,261951,132707,8744,76.62800000000001,47.45399999999999,12,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",99.565,1501.904,7530.289,102981.897,[],[]
25,50,0,448877,198564,173351,198564,76188,65857,7618.781472117658,6585.683984475936,173351,173351,448877,65857,448877,False,5,f0dc8_00000,2024-09-02_10-50-48,1725241848,70.01771187782288,350.08175897598267,3970312,v1,143.248.233.21,350.08175897598267,5,173351,198564,448877,198564,9218,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10000.184,0.008,0.21,0.145,0.015,173351,198564,448877,198564,9218,76.73434343434344,48.82525252525252,19,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",56.598,1404.659,7484.926,89468.977,[],[]
25,50,0,647972,317185,254275,317185,80924,118621,8085.087516333291,11851.381126426912,254275,254275,647972,118621,647972,False,6,f0dc8_00000,2024-09-02_10-51-59,1725241919,70.23694348335266,420.3187024593353,3970312,v1,143.248.233.21,420.3187024593353,6,254275,317185,647972,317185,14129,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.663,0.027,11.92,11.693,0.065,254275,317185,647972,317185,14129,76.30808080808082,49.274747474747485,24,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",45.488,1404.659,7523.088,89468.977,[],[]
25,50,0,818338,444865,320389,444865,66114,127680,6611.360593220036,12767.92389724316,320389,320389,818338,127680,818338,False,7,f0dc8_00000,2024-09-02_10-53-09,1725241989,70.01484680175781,490.33354926109314,3970312,v1,143.248.233.21,490.33354926109314,7,320389,444865,818338,444865,3217,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.437,0.009,0.233,0.163,0.016,320389,444865,818338,444865,3217,76.583,49.71399999999998,31,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",60.235,1385.548,7308.954,99010.527,[],[]
25,50,0,1010497,557737,392749,557737,72360,112872,7235.937030863374,11287.101776500978,392749,392749,1010497,112872,1010497,False,8,f0dc8_00000,2024-09-02_10-54-19,1725242059,70.01178359985352,560.3453328609467,3970312,v1,143.248.233.21,560.3453328609467,8,392749,557737,1010497,557737,32449,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.271,0.009,0.217,0.146,0.016,392749,557737,1010497,557737,32449,77.18888888888888,50.035353535353536,35,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",62.66,1205.224,7606.224,91942.742,[],[]
25,50,0,1255373,660753,489416,660753,96667,103016,9666.500645755325,10301.38755235117,489416,489416,1255373,103016,1255373,False,9,f0dc8_00000,2024-09-02_10-55-29,1725242129,70.01281642913818,630.3581492900848,3970312,v1,143.248.233.21,630.3581492900848,9,489416,660753,1255373,660753,5181,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.154,0.008,0.233,0.168,0.015,489416,660753,1255373,660753,5181,76.428,50.683,42,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",59.923,1205.224,7883.366,91942.742,[],[]
25,50,0,1478809,836018,568727,836018,79311,175265,7930.896920221035,17526.05122520886,568727,568727,1478809,175265,1478809,False,10,f0dc8_00000,2024-09-02_10-56-39,1725242199,70.0857834815979,700.4439327716827,3970312,v1,143.248.233.21,700.4439327716827,10,568727,836018,1478809,836018,4439,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10001.067,0.009,0.244,0.169,0.015,568727,836018,1478809,836018,4439,76.96060606060607,50.71010101010102,51,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",70.486,1166.326,7126.577,97992.125,[],[]
